Recording_datetime,Recording_Date,Recording_Time,Exercise_starttime,Exercise_Name,Exercise_Part,Activity,Team_id,Player_id,Athlete_MaxHeartbeat,Distance,HighDistance,Distance_above_15_kmh,HighSprintDistance,TimeinHR4,TimeinHR5,DistanceinSpeed0,DistanceinSpeed1,DistanceinSpeed2,DistanceinSpeed3,DistanceinSpeed4,DistanceinSpeed5,TimeinSpeed4,TimeinSpeed5,Player_role,Speed_Index,Accel_Index,Heart_Rate_1min,Heart_Rate_2min,Heart_Index,Heart_Avarage,HR_Max_Exercise,Heart_Average_Relative,HR_Time,Time,tijdinms,Energy_Cost_J,Power_kg,Opmerkingen,maxSpeed,HRstoring,TPstoring,totoppervlakte,oefeningoppervlakte,oefeningHoogte,oefeningBreedte,typedataset,exercisetype,exerciseremark,tijd_oefening_bruto,TijdPercentage,ACCEL_CAT_1,ACCEL_CAT_2,ACCEL_CAT_3,DECEL_CAT_1,DECEL_CAT_2,DECEL_CAT_3,Speed_BIN0_TIME_S,Speed_BIN1_TIME_S,Speed_BIN2_TIME_S,Speed_BIN3_TIME_S,Speed_BIN4_TIME_S,Speed_BIN5_TIME_S,Speed_BIN0_DISTANCE_M,Speed_BIN1_DISTANCE_M,Speed_BIN2_DISTANCE_M,Speed_BIN3_DISTANCE_M,Speed_BIN4_DISTANCE_M,HR_BIN0_TIME_S,HR_BIN1_TIME_S,HR_BIN2_TIME_S,HR_BIN3_TIME_S,HR_BIN4_TIME_S,HR_BIN5_TIME_S,HR_BIN0_DISTANCE_M,HR_BIN1_DISTANCE_M,HR_BIN2_DISTANCE_M,HR_BIN3_DISTANCE_M,HR_BIN4_DISTANCE_M,HR_BIN5_DISTANCE_M,Acc_BIN0_TIME_S,Acc_BIN1_TIME_S,Acc_BIN2_TIME_S,Acc_BIN3_TIME_S,Acc_BIN4_TIME_S,Acc_BIN5_TIME_S,Dec_BIN0_TIME_S,Dec_BIN1_TIME_S,Dec_BIN2_TIME_S,Dec_BIN3_TIME_S,Dec_BIN4_TIME_S,Dec_BIN5_TIME_S,Acc_BIN0_DISTANCE_M,Acc_BIN1_DISTANCE_M,Acc_BIN2_DISTANCE_M,Acc_BIN3_DISTANCE_M,Acc_BIN4_DISTANCE_M,Acc_BIN5_DISTANCE_M,Dec_BIN0_DISTANCE_M,Dec_BIN1_DISTANCE_M,Dec_BIN2_DISTANCE_M,Dec_BIN3_DISTANCE_M,Dec_BIN4_DISTANCE_M,Dec_BIN5_DISTANCE_M,Power_BIN0_TIME_S,Power_BIN1_TIME_S,Power_BIN2_TIME_S,Power_BIN3_TIME_S,Power_BIN4_TIME_S,Power_BIN5_TIME_S,Power_BIN0_DISTANCE_M,Power_BIN1_DISTANCE_M,Power_BIN2_DISTANCE_M,Power_BIN3_DISTANCE_M,Power_BIN4_DISTANCE_M,Power_BIN5_DISTANCE_M,DaysBeforeMatch,DaysAfterMatch,TA_ID,DTS_ID,Data_Source,DT_ID,TP_ID,ANL_ID,PRT_ID,EXR_ID,GRP_ID,AM_PM,Exclude,ExcludeHR,TableRow_skey,LoadDateTime,Speed_BIN5_DISTANCE_M,Athlete_Name
2017/08/17,2018/12/01,14:11:11,12:32:17,Marketing,05-807-3591,EF,5,190,164,2244,1422,875,44,405,456,48,316,239,458,302,379,164,441,Services,38,24,158,61,9,2,170,45,1537,522,17,639,539,volutpat eleifend donec ut dolor morbi,9,false,false,685,515,82,86,7,22,9,839,33,407,62,960,1004,177,268,1337,333,210,1254,207,1809,1374,631,1334,707,1301,1376,1331,1870,1138,592,590,911,156,745,342,1074,1533,1713,774,929,1977,112,1717,1670,1426,1281,480,155,551,1752,1240,244,1568,1874,1464,215,112,637,1773,865,1504,776,1382,221,437,1478,503,1608,740,884,593,1867,1453,45,24,89,11,8,18,30,70,18,57,31,PM,false,false,b197ee31-c132-47cb-86c3-db7a9860495d,10:24:52,434,Mureil
2010/11/27,2010/05/17,5:23:45,9:04:04,Training,78-463-6581,KL,18,1131,198,641,1219,256,348,109,355,131,311,299,303,48,148,75,438,Human Resources,93,64,166,64,74,162,86,80,935,1817,1638,199,230,non interdum in ante vestibulum ante ipsum,45,true,true,744,231,61,66,6,11,9,924,90,927,665,1149,1138,1562,41,724,667,854,1449,831,920,1706,431,1792,59,325,998,440,1264,1656,1368,1623,320,157,519,1731,1312,175,919,1305,166,126,199,1777,1203,1966,598,1590,1215,1293,1018,1009,1941,658,231,1631,710,1321,802,591,1013,1423,507,1584,1261,587,260,1206,947,1397,577,1674,1893,1803,9,70,10,51,10,28,55,15,12,50,75,AM,true,false,b4cf1aa1-a835-488e-ab39-186c4dc226a4,1:53:49,711,Carlie
2017/07/23,2011/06/13,11:01:06,2:44:57,Marketing,70-694-2583,IJ,33,1874,214,3485,837,431,402,176,458,238,244,203,414,328,454,17,229,Sales,71,33,28,93,100,134,116,12,243,326,955,847,427,amet nulla quisque arcu libero,14,false,true,769,240,56,22,3,18,10,1662,26,453,1952,430,714,401,1025,1996,6,686,516,577,1656,1147,746,880,461,855,1361,832,684,1605,1458,1505,520,1322,181,447,1926,1431,1770,1986,1585,1230,1657,1777,111,1377,37,1286,251,386,405,653,130,1763,1136,1906,372,13,1541,731,950,395,1454,481,148,1882,647,1044,571,1856,873,887,1735,1579,40,29,71,39,4,76,87,59,32,68,45,PM,true,true,228af9bb-3ac9-4700-8802-4984bd618695,10:57:28,1792,Tiebold
2017/06/10,2011/03/03,5:14:03,13:35:32,Accounting,62-949-9383,QR,31,518,202,4828,1860,266,38,206,212,37,442,165,284,9,252,7,72,Services,96,46,194,116,3,44,96,90,973,1835,1856,634,586,at nulla suspendisse potenti cras,20,true,true,382,183,23,20,3,23,2,1462,56,80,1403,1244,1084,258,111,490,228,798,312,1458,859,683,1194,1015,1259,1465,1761,878,132,994,1626,1195,177,416,1428,918,1009,427,1162,662,621,1125,1523,30,274,1840,1819,1485,1170,238,687,66,86,1266,109,851,1085,565,1597,1194,197,1330,1408,402,1466,330,250,132,1971,1696,120,659,187,962,78,34,91,92,5,30,100,25,45,68,30,AM,true,true,cf47f80a-8838-48b9-bec1-3f50098a43ad,22:45:23,339,Cary
2013/08/18,2015/02/04,8:27:49,12:10:23,Human Resources,39-936-9203,QR,34,952,97,3270,977,204,458,432,490,433,177,315,498,423,214,37,211,Services,52,38,199,73,13,80,122,73,111,7,1201,948,117,sollicitudin vitae consectetuer eget rutrum at lorem integer,7,true,false,738,140,51,57,1,11,5,1573,51,1981,1256,748,1201,1696,279,1227,1175,764,683,522,1452,247,1227,599,1725,214,376,453,281,1412,1884,1512,1102,182,1724,1676,1605,838,835,613,679,1261,572,1876,614,921,1340,710,1286,1300,695,1193,1992,1055,1838,1440,405,291,457,1751,126,1374,1568,1827,1974,1510,47,122,1939,1234,522,729,1035,904,28,26,18,59,6,47,49,42,44,92,60,PM,false,false,775b1f68-2152-44f8-bcb8-4fa2520cfcde,23:48:53,1016,Tasha
2014/07/30,2017/01/14,1:37:25,11:53:45,Marketing,45-351-1907,QR,18,1131,156,115,528,579,430,383,91,390,65,117,59,67,288,52,286,Services,94,23,136,21,83,29,105,91,918,1837,1143,456,95,et commodo vulputate justo in,42,true,false,247,977,100,74,8,5,6,1150,62,744,257,1937,476,995,1806,1132,44,1498,1282,29,1437,253,1431,1614,1443,154,1780,638,880,576,506,237,1112,786,833,1843,1887,1490,55,511,1858,1876,1373,1653,595,424,1592,1049,545,1874,1097,592,1597,231,1796,1138,1235,1082,295,119,310,1138,878,1610,1365,409,188,1749,1705,902,919,1220,247,1167,35,64,71,78,7,8,41,99,76,65,5,PM,true,false,b03e32f5-04e0-45a8-805a-aaf9eec3485c,3:46:58,972,Drona
2018/08/07,2018/07/27,23:37:12,13:38:06,Marketing,76-435-1648,MN,14,1374,111,2232,1894,229,57,174,301,42,238,22,53,200,195,122,425,Sales,50,7,16,26,78,116,133,22,114,790,612,227,105,vel sem sed sagittis nam,34,true,false,133,906,66,37,1,9,1,1660,38,170,863,851,1382,79,776,819,992,652,707,1712,222,1424,765,1751,11,12,1287,1074,262,481,1366,132,920,983,1988,227,654,86,342,781,1185,1016,1218,1231,152,129,715,87,1489,392,116,1335,1771,559,1326,651,1867,800,115,757,713,384,683,254,1317,1436,1085,800,1975,922,1460,308,118,1659,5,20,85,65,4,58,19,15,33,46,49,AM,false,false,d74bb513-50db-4dc4-8896-0514011cdf07,15:29:07,868,Douglas
2015/04/14,2019/12/12,6:41:04,15:19:28,Support,15-555-1458,MN,22,237,89,4577,1592,18,198,262,43,158,67,200,158,271,196,194,278,Training,88,87,67,184,26,131,121,10,764,1718,786,265,377,nulla eget eros elementum pellentesque,46,true,false,388,300,63,7,9,20,4,1655,43,592,694,1777,283,234,1500,1991,636,750,1716,1751,377,1514,1255,1425,708,84,422,1705,944,1702,1042,5,1836,74,670,660,436,1655,206,1484,1397,1631,196,1726,622,165,1743,590,1996,609,1314,1076,200,1431,1618,694,226,1639,1627,1895,285,260,932,1557,1125,1014,373,370,1630,1969,1030,775,1182,511,12,91,16,70,5,16,28,19,19,73,40,AM,true,true,6183073e-a471-4377-abdf-4567251daa8d,7:36:34,827,Amalita
2014/05/31,2017/06/06,15:41:37,17:27:48,Accounting,66-169-7668,EF,15,300,187,3452,559,286,112,419,496,176,101,69,347,63,291,400,176,Product Management,86,15,79,101,31,29,126,40,1890,489,708,130,411,ut nunc vestibulum ante ipsum primis in faucibus orci luctus,22,false,true,950,969,99,7,2,5,7,651,63,1983,716,812,654,1503,1921,1490,80,1003,678,94,716,520,883,1993,714,200,742,1374,1896,1834,1109,258,899,897,688,933,982,1435,370,1125,1399,117,1824,1680,257,1729,308,1905,92,382,716,342,961,1525,506,1446,1333,1312,427,1754,183,597,1355,1557,741,348,1590,1927,1646,1915,212,1054,1025,1724,14,81,27,50,6,78,20,92,76,97,60,PM,true,false,c5ca479c-6f5a-4a79-8ffc-e549c2b4dc87,10:13:40,556,Eadmund
2013/07/08,2019/12/21,1:59:54,15:36:33,Services,42-290-9414,TU,2,1658,207,1069,1520,268,389,94,279,151,156,325,7,441,206,10,236,Legal,67,8,185,96,57,157,190,93,293,1965,1238,998,417,ante ipsum primis in faucibus orci luctus,35,false,false,65,869,43,42,3,7,6,1329,62,1963,609,370,1758,1990,985,1328,418,1116,1570,1490,1566,197,72,1224,1395,441,1751,891,1867,1720,1887,318,1126,295,492,727,1617,1934,447,52,1788,189,1906,1304,1964,533,1375,723,7,1025,344,594,398,720,1561,1631,740,1711,677,1184,333,1483,1685,425,950,623,1570,1688,1096,1682,1867,1639,1749,1503,78,1,95,49,2,54,79,43,16,80,4,PM,true,false,d4bdb396-ad14-47fe-9f0d-4d57e49c4cfb,17:54:09,1080,Edmon
2016/09/21,2014/04/01,10:44:12,0:44:58,Legal,74-321-1811,TU,35,1722,213,3897,1088,754,255,11,334,43,182,218,434,405,340,119,241,Training,20,88,193,187,2,15,119,93,1884,1037,742,303,472,blandit ultrices enim lorem ipsum,3,true,true,723,756,60,47,9,15,1,800,67,1580,1448,1710,568,136,186,1895,122,115,479,1854,433,518,1122,85,640,1218,1488,1609,1512,347,1599,1430,1556,1881,531,1849,1146,1156,1990,1245,593,1789,1257,1768,1610,730,303,1202,1707,978,710,1433,1072,1623,1722,435,753,886,60,492,529,749,1656,397,549,679,1123,1093,1884,1172,390,117,1102,1007,64,40,6,11,9,26,69,29,32,94,4,AM,false,false,7ba6ad09-fb2b-40dd-9bac-3cab80d09c87,21:37:28,367,Giovanna
2010/09/12,2015/07/29,11:27:31,4:32:47,Legal,23-562-4812,EF,15,989,105,2424,1192,644,390,31,227,295,319,495,265,395,425,461,465,Human Resources,46,33,33,165,32,176,80,5,1933,639,884,299,18,vitae consectetuer eget rutrum at lorem integer tincidunt,20,true,true,937,764,88,46,3,19,3,1822,48,173,915,1029,1363,925,1109,112,1034,361,1552,140,431,336,1705,1962,820,1335,484,1888,627,1721,1665,1534,261,530,498,111,536,610,238,1457,1620,1251,109,1655,1543,1918,1235,1467,1487,1959,1539,999,1046,207,1895,1215,1117,1431,449,498,131,1195,1807,489,1495,887,1328,1098,757,734,1658,1625,1329,683,27,36,73,62,5,9,98,69,40,20,13,AM,false,false,3d618527-a5ac-49d6-866b-09fcd32a1235,12:40:53,103,Libbi
2011/12/13,2017/04/17,19:53:01,8:46:59,Research and Development,69-636-6234,EF,6,177,156,4179,1590,522,277,148,420,296,321,453,287,361,173,416,159,Accounting,11,100,174,42,100,22,82,23,1177,509,1091,9,354,vivamus metus arcu adipiscing molestie hendrerit at,25,false,true,647,1000,74,42,8,25,9,738,64,142,546,926,770,1073,519,466,991,1288,966,1060,790,1799,1911,1896,1560,465,1180,627,1260,236,255,102,1572,554,479,441,1444,1345,1667,688,1743,991,1120,1854,1578,571,1786,1441,548,647,1137,1769,913,1113,1759,634,261,764,1437,1239,1125,1916,334,601,1845,1796,1263,921,1649,79,482,518,100,978,65,96,75,55,3,53,19,83,33,75,88,PM,false,false,4e05c9e9-afd2-4f33-bf41-fbb5ca9988ab,2:11:47,132,Merry
2016/06/29,2019/07/26,17:39:56,12:44:10,Product Management,60-753-6535,KL,12,1104,176,2950,1241,804,356,376,217,205,234,145,171,127,391,102,272,Training,42,53,135,133,61,177,178,29,1684,1683,577,54,115,sed lacus morbi sem mauris laoreet,26,true,true,126,713,95,68,8,16,5,1450,31,1967,1423,87,1203,1789,926,1462,171,72,801,1497,816,680,1647,661,547,820,1756,1918,184,49,335,1956,600,804,1474,1633,969,1348,925,1241,1813,1097,1786,491,500,1974,257,1649,98,549,905,502,1215,966,1254,1255,1129,1321,1682,858,225,453,1606,1490,1574,948,191,1225,686,1848,100,1429,381,1264,24,2,67,21,9,62,15,93,68,87,37,AM,false,false,c3ff6b62-def7-433b-9dd0-8682a205c46c,5:35:00,1429,Carley
2018/11/09,2014/02/20,5:10:58,9:50:20,Product Management,30-808-1725,KL,8,1048,140,1466,1050,97,35,410,258,310,476,356,496,417,80,416,447,Engineering,88,14,2,82,11,17,163,62,814,1220,1741,45,220,elementum pellentesque quisque porta volutpat erat,50,true,true,169,522,22,35,4,12,8,1481,80,382,1787,704,876,1678,358,1092,503,113,1221,1080,1554,593,1157,360,1877,297,1288,352,1965,466,44,389,1842,1937,1285,1963,663,1670,1125,1417,1939,80,846,280,1471,124,399,905,449,921,1652,1736,1834,1490,1672,243,672,1426,425,724,1462,105,930,1769,1417,1467,629,997,1978,885,1898,1424,618,166,89,54,93,73,1,57,66,61,69,44,6,PM,true,true,6cbf41e6-1efc-4078-86c7-1d430551eefc,22:26:01,894,Jervis
2013/11/22,2019/03/22,21:31:00,16:32:21,Training,63-011-9038,QR,41,1314,198,1453,839,46,449,235,485,111,368,207,81,193,188,150,151,Legal,63,95,200,87,6,3,137,95,587,1991,688,709,160,orci eget orci vehicula condimentum curabitur in libero ut,19,false,true,243,815,53,62,3,2,10,343,89,1647,1661,767,1311,1378,1687,1247,914,1120,712,258,80,555,819,752,1561,725,1824,713,1437,1719,974,469,1229,743,843,1123,1548,1778,1430,239,1759,1781,404,376,1457,362,1905,463,1875,338,1079,1614,1214,1608,1068,1577,1506,1247,1408,640,1281,1375,902,1951,1005,1810,1476,132,1719,934,1579,1128,755,440,38,18,18,95,2,26,27,67,51,40,97,PM,false,false,67bb55b6-e041-4d2a-9aa8-60bbda319cbc,3:44:21,1036,Ade
2012/12/05,2015/03/19,22:15:39,16:10:34,Services,07-503-0957,IJ,8,169,88,4280,1401,966,495,305,486,341,56,125,319,459,364,440,267,Research and Development,56,38,124,129,25,31,182,47,641,38,63,590,127,integer non velit donec diam,38,false,true,367,901,50,79,9,10,8,181,32,719,510,1009,1943,962,266,208,1947,1331,262,36,1586,639,1597,930,1271,1783,521,1133,511,1894,256,1558,666,1661,1663,1026,170,1927,1917,1194,193,713,435,695,1609,556,371,1397,582,397,901,1559,360,1156,16,1895,698,1374,98,65,1883,149,873,1933,1942,831,1620,1224,1991,957,1174,213,1671,1714,81,72,23,45,8,90,80,38,29,3,53,AM,false,false,e17b03f1-75f1-4ca2-9436-64c4baeb45a8,2:37:16,239,Parker
2017/10/12,2013/07/25,0:21:42,10:34:32,Human Resources,52-219-5324,QR,29,1367,124,2807,322,881,334,250,436,101,200,467,262,207,326,168,380,Engineering,21,17,185,62,66,145,94,5,153,1776,942,158,176,nulla nisl nunc nisl duis bibendum felis sed,10,true,false,219,422,72,1,8,3,1,848,57,1610,918,1047,580,481,168,1956,1353,1817,256,1855,1016,138,1503,741,987,1853,837,1886,1702,1949,98,151,420,1691,981,1670,302,1027,1395,675,13,527,1421,1460,1722,715,895,1538,193,1042,1286,751,1936,1031,1426,1948,1365,285,720,578,1888,550,524,1468,195,502,96,874,1793,1709,276,1102,1431,484,68,84,27,24,10,7,85,100,72,21,47,AM,true,false,71c8e438-fedc-407c-a729-33c8e248a1f5,5:10:00,645,Jorry
