periodFullName,isProcessed,fileName,Velocity_Band_6_Total_Duration,Velocity_Band_6_Total_Distance,Velocity_Band_5_Total_Duration,Velocity_Band_5_Total_Distance,Velocity_Band_4_Total_Duration,Velocity_Band_4_Total_Distance,Velocity_Band_3_Total_Duration,Velocity_Band_3_Total_Distance,Velocity_Band_2_Total_Duration,Velocity_Band_2_Total_Distance,Velocity_Band_1_Total_Duration,Velocity_Band_1_Total_Distance,Veld_grootte,Total_Duration,Total_Distance,Team_id,TableRow_skey,Start_Time,Soort_training,Session_Count,Remark3,Remark2,Remark,Player_id,Period_Number,Period_Name,Mean_Heart_Rate,Maximum_Velocity,Maximum_Heart_Rate,LoadDateTime,IMA_Jump_Count_Med_Band,IMA_Jump_Count_Low_Band,IMA_Jump_Count_High_Band,IMA_Dive_Intensity_Band_8_Right_Count,IMA_Dive_Intensity_Band_8_Left_Count,IMA_Dive_Intensity_Band_7_Right_Count,IMA_Dive_Intensity_Band_7_Left_Count,IMA_Dive_Intensity_Band_6_Right_Count,IMA_Dive_Intensity_Band_6_Left_Count,IMA_Dive_Intensity_Band_5_Right_Count,IMA_Dive_Intensity_Band_5_Left_Count,IMA_Dive_Intensity_Band_4_Right_Count,IMA_Dive_Intensity_Band_4_Left_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Right_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_3_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_3_Left_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Right_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_2_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_2_Left_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Right_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Right_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_3_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_2_Count,IMA_Dive_Intensity_Band_1_Left_Return_Band_1_Count,IMA_Dive_Intensity_Band_1_Left_Count,Heart_Rate_Index,Heart_Rate_Band_6_Total_Duration,Heart_Rate_Band_5_Total_Duration,Heart_Rate_Band_4_Total_Duration,Heart_Rate_Band_3_Total_Duration,Heart_Rate_Band_2_Total_Duration,Heart_Rate_Band_1_Total_Duration,Field_Time,ExcludeHR,Exclude,End_Time,Date,Bench_Time,AM_PM
Josephine,false,Quo Lux,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,957,959,9001,8,3d0db269-bdb0-4203-b283-d9d4c162b8a6,23:51:43,Computers,58,7,7,7,875,660,partijspel,87,331,179,16:29:47,12,43,99,15,48,68,31,58,32,11,69,73,25,28,50,10,61,75,32,83,64,45,14,40,57,49,65,30,32,42,26,39,77,89,13,61,50,39,66,5,47,78,59,63,1:56:36,true,false,7:32:42,3/13/2019,174,PM
Arlinda,true,Toughjoyfax,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,870,539,7295,37,d1175ae9-12fe-41ab-98e0-754f3cb29bf8,9:08:05,Toys,24,4,14,17,1067,377,partijspel,107,976,213,13:05:57,87,48,39,9,17,78,5,58,48,41,72,4,65,1,41,88,84,89,19,71,96,22,43,30,42,30,4,14,76,4,95,52,10,91,62,3,95,49,20,93,11,82,55,84,11:01:47,false,true,21:51:20,3/27/2020,164,PM
Susy,false,Home Ing,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,28,588,9553,17,1cdf6b70-cbc0-412a-a120-b21f8c4a73d1,12:40:40,Computers,62,18,3,8,202,614,6,142,745,98,8:45:12,8,77,100,53,98,97,95,62,32,35,76,43,40,27,41,18,39,82,79,94,49,44,42,36,44,57,67,20,62,28,69,67,33,4,62,70,65,31,78,39,78,41,91,11,2:01:54,false,true,17:04:40,8/15/2019,736,AM
Annissa,false,Voltsillam,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,637,428,9795,41,4af0330e-2f1e-4abe-9c6b-bf6854ff4ac0,2:28:22,Outdoors,57,9,19,15,1719,101,partijspel,140,88,122,9:49:09,6,7,10,66,34,72,36,63,18,93,7,19,44,65,18,92,26,61,3,48,65,49,22,89,78,73,16,32,87,34,95,55,88,58,40,14,2,71,23,51,12,64,24,92,21:19:01,false,false,14:18:48,10/3/2012,43,AM
Gates,false,Rank,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,397,625,1846,47,9f229cc1-d5ad-4980-98f6-eb91b599d1e9,9:13:44,Garden,16,1,14,8,353,363,6,141,863,110,7:08:51,46,15,52,47,73,38,77,56,21,8,37,84,13,21,85,97,53,74,82,63,22,39,61,29,24,70,76,61,55,58,43,25,65,33,22,75,27,16,76,83,5,16,97,80,6:12:52,false,false,23:19:46,8/10/2018,252,AM
Arny,false,Konklab,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,880,780,3923,29,7f7d6da1-6029-462d-9355-f4762005a38a,19:19:24,Electronics,23,8,15,9,692,341,duels,153,681,161,21:28:25,69,45,11,26,12,33,37,48,96,51,42,84,6,27,27,27,72,89,37,76,30,31,2,12,70,61,24,16,24,13,33,54,68,79,84,1,45,62,87,29,65,89,64,78,21:43:49,false,false,21:40:20,5/14/2019,838,AM
Gilligan,true,Span,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,578,39,3207,6,85b7b251-13d2-44cc-a80f-dd816db745ea,1:02:19,Sports,57,17,14,9,1417,698,4,116,435,169,22:27:30,3,64,35,96,68,87,72,67,51,53,37,73,36,43,93,100,93,92,2,43,90,40,16,80,100,28,56,94,17,46,78,45,87,58,20,50,94,1,39,20,9,83,92,20,4:14:43,false,false,21:43:26,12/10/2012,526,AM
Carmencita,true,Y-Solowarm,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,970,699,8307,30,f2e336ca-84ad-4d3d-8017-97e8dfea297d,17:06:54,Toys,49,12,21,23,150,904,partijspel,102,75,100,12:13:37,97,49,67,57,52,85,58,4,71,98,98,23,71,45,96,47,19,57,24,19,19,27,7,49,46,35,70,49,37,37,25,25,72,58,85,96,27,51,49,24,82,25,43,48,0:15:15,false,false,17:35:06,10/30/2019,472,AM
Sophronia,false,Hatity,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,743,586,10000,7,2f27d855-f2f5-46e7-b4da-47510728293f,18:54:10,Home,100,4,15,12,1901,837,7,112,835,173,18:12:49,98,67,35,54,12,46,85,50,91,80,19,45,81,16,27,37,75,18,86,99,40,63,5,42,87,67,1,13,99,63,39,78,83,47,98,6,19,88,57,7,41,36,59,46,20:50:38,false,false,20:49:18,12/10/2013,687,AM
Norbie,true,Sonair,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,188,550,9281,44,3df12736-dcf0-4c61-872b-26ce4eda5db1,4:19:49,Jewelery,39,3,16,12,429,763,w-up,87,774,120,13:33:36,94,12,36,77,46,83,98,90,83,34,95,10,51,33,24,86,19,85,30,90,60,60,88,86,65,80,70,64,2,89,48,58,64,81,51,21,70,34,14,5,76,19,45,43,10:59:39,false,false,7:40:30,12/16/2015,324,PM
Karlen,false,Opela,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,62,31,9385,41,dedcf29c-9bc0-40a7-817c-01a629541707,18:00:12,Music,75,14,22,12,1499,18,4,103,858,114,2:25:59,62,15,32,59,94,59,28,76,83,22,99,70,81,37,6,7,61,42,56,93,63,71,65,34,86,51,37,44,99,68,49,42,87,76,8,73,93,20,94,54,45,57,47,48,1:12:05,false,true,15:08:57,3/30/2012,907,PM
Thomasin,true,Toughjoyfax,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,22,582,1173,11,2eb8d278-a4b7-4217-aa93-45a214f7b9e6,10:33:53,Kids,65,6,22,5,1264,615,afwerken,81,253,176,19:37:14,65,12,31,51,74,97,41,50,93,62,7,46,32,40,86,95,11,70,22,68,60,19,41,31,30,50,73,67,29,100,75,96,77,59,99,37,1,5,31,11,51,66,51,92,11:51:35,true,true,18:15:45,7/12/2013,352,PM
Lisle,true,Andalax,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,38,752,5714,10,8ad1f159-39b9-4f0f-8949-9b74ac043a1e,7:50:04,Clothing,33,12,22,23,1742,735,positiespel,147,158,158,13:44:35,38,90,21,41,42,86,47,36,34,57,69,85,46,76,63,80,12,8,35,67,25,53,41,27,59,21,86,60,75,18,26,81,33,74,72,84,2,21,47,99,53,1,78,59,22:24:21,true,false,9:33:52,3/21/2013,184,PM
Alanson,true,Solarbreeze,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,300,721,1961,29,5fbda995-6203-4f21-96d1-bbf80d400afe,9:36:40,Electronics,87,21,9,5,345,503,5,114,554,180,21:18:47,17,17,98,87,68,57,39,77,71,1,78,20,56,24,92,56,10,89,79,59,83,68,45,2,39,72,97,73,71,78,50,62,26,18,57,80,18,10,19,72,17,53,29,72,21:14:31,true,true,16:22:05,8/26/2019,973,AM
Christy,true,Cardguard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,555,31,7683,39,dc76ea78-7987-4dbd-b038-602b8b9280ad,0:53:46,Kids,69,23,18,24,1802,998,positiespel,110,899,186,6:18:07,94,70,89,55,14,96,99,11,64,76,33,82,40,88,29,65,54,16,93,86,88,90,57,40,14,26,15,37,6,72,19,70,36,9,20,59,20,92,94,21,88,97,90,10,16:43:05,false,false,22:52:10,9/4/2012,965,PM
Elisa,true,Solarbreeze,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,810,23,2788,11,1c1a13c3-b2de-4b9a-8aed-892738213646,8:20:34,Electronics,11,13,16,15,1756,5,partijspel,86,640,211,18:37:46,21,83,68,12,71,38,82,74,69,74,15,74,81,25,68,33,79,53,50,90,2,28,41,30,71,92,65,71,100,96,8,10,95,47,91,16,94,8,19,61,74,22,45,78,6:03:00,true,true,12:42:38,11/27/2015,949,PM
Sherilyn,false,Otcom,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,657,40,4846,13,59f077b9-ecc4-48a5-a48d-04fdb39f4866,19:52:49,Baby,30,18,23,15,1811,997,4,119,433,114,21:45:41,100,91,67,51,75,60,71,56,28,66,55,7,17,13,7,19,18,44,100,27,63,77,32,18,56,45,30,63,81,31,90,81,83,91,45,9,72,60,33,75,64,98,40,78,23:49:36,true,false,11:29:20,4/7/2012,697,PM
Madelene,false,Cardguard,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,600,676,2236,21,b5a9898f-2074-4af8-9330-eef35c82d49d,10:19:16,Outdoors,85,22,25,7,1755,947,4,115,88,142,1:42:16,1,100,30,60,18,51,14,88,34,16,78,78,45,17,48,14,49,38,42,47,86,85,69,79,98,21,11,78,7,58,94,76,20,93,7,41,85,39,13,16,84,73,66,84,2:44:42,false,false,1:49:55,5/11/2018,864,PM
Jaimie,true,Pannier,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,716,926,2478,30,832f2978-02b8-4451-8dc5-64b061f0392f,20:41:30,Sports,88,25,25,22,15,303,positiespel,149,558,193,10:33:01,27,73,59,76,66,54,20,2,29,93,83,3,36,4,84,73,38,24,21,42,42,73,47,48,76,52,90,89,83,55,65,64,87,97,52,55,48,64,75,73,9,17,62,38,17:39:30,true,true,10:38:28,5/9/2019,576,PM
Elysia,false,Tempsoft,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,215,867,1915,33,38d7f285-287f-4acc-80a7-a2f4f82f7219,1:47:58,Music,14,8,1,11,382,450,7,100,251,212,2:30:36,95,5,19,31,95,37,96,47,80,1,4,88,31,83,17,60,64,100,75,23,35,29,77,19,13,16,77,51,42,79,41,89,35,66,97,68,8,33,56,38,64,45,59,56,16:59:31,false,true,9:18:02,3/16/2019,47,AM
Guthrey,false,Pannier,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,429,879,9417,38,5c2fdd74-9e05-40d7-879e-50fb3cb4bbe9,19:38:12,Shoes,75,8,15,10,493,405,6,135,764,130,18:10:23,77,68,21,34,69,63,73,55,13,58,62,80,19,93,76,49,23,50,83,4,6,60,52,94,62,2,86,56,52,27,43,84,46,93,99,22,57,36,60,87,5,67,83,8,2:10:35,false,false,9:53:46,8/15/2012,923,PM
Fax,false,Keylex,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,419,169,9710,42,580bf283-196a-4774-801a-e5d56a8ceebc,22:42:31,Electronics,60,17,5,14,1740,738,5,137,80,182,7:31:32,8,14,42,20,79,41,97,76,31,95,7,15,85,3,75,84,19,50,96,44,95,94,80,79,81,27,77,61,73,69,57,67,44,98,57,2,85,38,92,11,7,35,35,45,0:01:32,true,false,19:55:03,1/2/2015,331,AM
Marylynne,true,Temp,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,139,983,9101,43,818582e8-afb9-40c4-957d-6892efd012e9,21:07:13,Kids,4,7,11,1,123,804,partijspel,100,520,108,1:28:07,96,44,68,94,46,68,16,66,47,8,74,40,77,88,80,77,96,49,70,49,3,18,59,21,33,16,90,75,90,82,96,6,84,43,56,87,88,76,18,17,47,58,83,70,13:53:34,true,false,15:56:59,10/25/2010,618,AM
Dagmar,true,Konklab,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,5,775,8072,21,9c074f53-0896-49df-849b-5e179913cdb9,0:40:52,Jewelery,64,15,25,11,1426,142,5,81,475,163,18:52:14,91,48,59,63,100,33,75,32,46,62,15,5,86,49,92,4,92,27,73,54,31,90,71,46,11,43,74,59,24,48,54,71,44,78,1,42,42,6,75,4,61,35,8,78,20:44:04,true,false,17:49:59,6/10/2016,383,AM
Hodge,true,Matsoft,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,12:10:00 AM,596,621,9172,46,f329ba92-0463-4a77-8e7c-95ff8db061be,2:00:33,Outdoors,17,12,18,14,1208,29,4,142,414,198,8:16:46,11,81,11,23,66,94,96,3,92,7,51,34,41,87,35,60,62,26,16,50,65,70,42,69,98,79,7,40,71,1,76,5,91,72,49,61,55,62,62,14,52,16,50,83,18:32:47,true,false,1:20:57,1/2/2019,586,PM
